rank,app_id,app_name,artist_name,url,artwork,date,country,feed,genre_id,genre_name
27,6758149135,Money Sort: Merge Puzzle,Loop Games Oyun Teknolojileri Anonim Sirketi,https://apps.apple.com/us/app/money-sort-merge-puzzle/id6758149135?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/6f/50/78/6f5078c5-7873-5061-2425-8aa139cefb37/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
28,6499209500,Tile Match Ultimate,Gimica GmbH,https://apps.apple.com/us/app/tile-match-ultimate/id6499209500?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/19/b2/d5/19b2d563-1ba0-22d6-e7d1-51ea6eb75fe1/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
29,1105855019,Gardenscapes,Playrix,https://apps.apple.com/us/app/gardenscapes/id1105855019?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/54/9f/3a/549f3a53-96e5-8dfa-8639-ca30bf676cee/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
30,6739069151,Crossword Go!,PlaySimple Games Pte Ltd,https://apps.apple.com/us/app/crossword-go/id6739069151?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/4b/d4/12/4bd4122f-a4b6-cfcc-15b0-293127666f3f/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
31,6754900673,Jigsawcard Solitaire Puzzle,Oakever Games,https://apps.apple.com/us/app/jigsawcard-solitaire-puzzle/id6754900673?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/54/43/08/54430824-cbb4-6f52-caa7-6d198ffcba23/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
32,1643509748,Merge Cooking®,Happibits,https://apps.apple.com/us/app/merge-cooking/id1643509748?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/3c/a6/cf/3ca6cfa1-757b-2632-12a1-652d5a949517/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
33,6504332779,Color Block Jam,Rollic Games,https://apps.apple.com/us/app/color-block-jam/id6504332779?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/8e/55/86/8e55860d-453a-1daa-04c3-4238a270aa2a/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
34,6762342518,Fluffy Drop,UniRise Studio,https://apps.apple.com/us/app/fluffy-drop/id6762342518?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/d9/50/ec/d950ecb9-b0a3-7541-a84d-e8a6c7f7d070/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
35,6449094229,Match Factory!,Peak Games,https://apps.apple.com/us/app/match-factory/id6449094229?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/30/65/44/3065447b-4674-7285-954a-4f5db9728e60/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
36,1475514684,Bubble Cash,Papaya Gaming,https://apps.apple.com/us/app/bubble-cash/id1475514684?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/6d/38/a0/6d38a03b-52c4-0e9c-6bae-4b013d102642/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
